iter	Passed	Remaining
402	8111	3965
403	8133	3945
404	8150	3924
405	8169	3903
406	8186	3881
407	8202	3860
408	8219	3838
409	8239	3818
410	8259	3798
411	8279	3777
412	8298	3757
413	8316	3736
414	8335	3715
415	8358	3696
416	8379	3677
417	8399	3657
418	8419	3637
419	8441	3617
420	8465	3599
421	8484	3578
422	8503	3558
423	8523	3538
424	8540	3516
425	8558	3495
426	8575	3474
427	8592	3452
428	8609	3431
429	8630	3412
430	8648	3391
431	8669	3371
432	8689	3351
433	8709	3331
434	8727	3310
435	8746	3289
436	8764	3269
437	8784	3249
438	8801	3228
439	8821	3207
440	8841	3187
441	8859	3166
442	8875	3145
443	8892	3124
444	8909	3103
445	8927	3082
446	8947	3062
447	8967	3042
448	8987	3022
449	9006	3002
450	9028	2982
451	9052	2964
452	9070	2943
453	9089	2923
454	9106	2902
455	9127	2882
456	9147	2862
457	9167	2842
458	9185	2821
459	9202	2800
460	9221	2780
461	9237	2759
462	9254	2738
463	9272	2717
464	9290	2697
465	9309	2676
466	9325	2655
467	9343	2635
468	9361	2614
469	9380	2594
470	9399	2574
471	9418	2554
472	9434	2533
473	9452	2512
474	9477	2494
475	9501	2475
476	9521	2455
477	9538	2434
478	9555	2413
479	9571	2392
480	9588	2372
481	9605	2351
482	9626	2331
483	9643	2311
484	9660	2290
485	9679	2270
486	9697	2250
487	9713	2229
488	9730	2208
489	9748	2188
490	9767	2168
491	9786	2148
492	9803	2127
493	9818	2106
494	9838	2087
495	9857	2066
496	9873	2046
497	9893	2026
498	9909	2005
499	9930	1986
500	9945	1965
501	9965	1945
502	9981	1924
503	9999	1904
504	10018	1884
505	10035	1864
506	10050	1843
507	10068	1823
508	10091	1804
509	10110	1784
510	10129	1764
511	10147	1744
512	10170	1724
513	10189	1704
514	10207	1684
515	10223	1664
516	10242	1644
517	10260	1624
518	10277	1603
519	10296	1584
520	10313	1563
521	10332	1543
522	10350	1523
523	10365	1503
524	10385	1483
525	10405	1463
526	10423	1443
527	10441	1423
528	10462	1404
529	10484	1384
530	10507	1365
531	10529	1345
532	10549	1326
533	10570	1306
534	10588	1286
535	10607	1266
536	10626	1246
537	10646	1226
538	10665	1207
539	10685	1187
540	10703	1167
541	10720	1147
542	10738	1127
543	10756	1107
544	10775	1087
545	10794	1067
546	10812	1047
547	10830	1027
548	10847	1007
549	10864	987
550	10883	967
551	10902	948
552	10919	928
553	10938	908
554	10956	888
555	10974	868
556	10989	848
557	11007	828
558	11027	808
559	11048	789
560	11066	769
561	11084	749
562	11102	729
563	11119	709
564	11138	689
565	11156	670
566	11171	650
567	11187	630
568	11204	610
569	11224	590
570	11246	571
571	11263	551
572	11283	531
573	11301	511
574	11318	492
575	11337	472
576	11353	452
577	11368	432
578	11384	412
579	11400	393
580	11415	373
581	11431	353
582	11449	333
583	11467	314
584	11487	294
585	11505	274
586	11524	255
587	11541	235
588	11557	215
589	11573	196
590	11590	176
591	11607	156
592	11625	137
593	11643	117
594	11662	98
595	11683	78
596	11702	58
597	11719	39
598	11738	19
599	11757	0
